Latitude,Longitude,Sentiment,Number of Tweets
45,-97,-1.542977475,2
45,-96,5.231486857,12
45,-95,2.519103613,3
45,-94,2.645811352,36
45,-93,3.445306308,40
45,-92,2.317412348,40
45,-91,2.668526411,40
45,-90,2.59974295,40
45,-89,0.232551139,4
45,-88,0.232551139,4
45,-87,1.672829405,40
45,-86,2.384541273,5
45,-85,0.895722167,31
45,-84,2.202456432,7
45,-83,0.605750054,2
45,-81,0.605750054,2
45,-80,2.881454839,23
45,-79,-0.570946049,23
45,-78,2.088909272,40
45,-77,0.002186437,3
45,-76,1.951419345,7
45,-75,1.041145424,40
45,-74,3.877221945,40
45,-73,1.373812125,31
45,-72,3.012397828,40
46,-124,1.242069185,3
46,-123,2.608041327,22
46,-122,1.465226161,40
46,-121,0.487793514,7
46,-120,6.98352623,1
46,-119,5.124768044,3
46,-118,3.1834252,40
46,-117,3.344035711,28
46,-116,2.960188904,11
46,-114,-0.10610754,1
46,-113,-3.45834446,1
46,-112,-0.870758149,40
46,-111,-0.783735628,40
46,-109,2.408706968,40
46,-108,0.655898964,40
46,-107,0.655898964,40
46,-98,12.34585174,3
46,-97,1.380649163,40
46,-96,1.189527243,2
46,-95,6.085664736,9
46,-94,0.892396416,19
46,-93,2.322556881,40
46,-92,3.745935542,7
46,-91,4.283543706,5
46,-90,5.383297563,4
46,-89,-0.314487278,1
46,-88,3.717678034,5
46,-86,3.064337125,37
46,-85,-2.554647207,1
46,-83,3.26245743,2
46,-81,-1.359937698,16
46,-80,2.590547759,32
46,-79,-2.349529505,1
46,-77,2.859039357,19
46,-76,4.444119074,11
46,-75,-4.204433203,2
46,-74,2.309978311,19
46,-73,2.026724241,36
46,-72,1.890445828,1
46,-71,0.876006007,3
47,-124,-1.288626608,20
47,-123,2.067125076,21
47,-122,0.610529449,40
47,-121,5.54405859,40
47,-120,2.645421422,30
47,-119,2.93652081,20
47,-117,4.912836711,6
47,-114,0.307698054,40
47,-112,1.786640999,40
47,-111,1.566490616,40
47,-110,-0.474428249,7
47,-105,6.297452818,11
47,-103,-2.043220997,2
47,-101,-3.232667893,40
47,-100,1.752229801,40
47,-99,-1.727496097,3
47,-97,-0.786876096,31
47,-96,1.870900346,40
47,-95,-0.68984206,14
47,-94,0.220884812,29
47,-93,-2.165464818,2
47,-92,5.390627072,18
47,-91,0.368473927,40
47,-89,1.480896017,40
47,-88,1.285840971,40
47,-81,1.200847644,40
47,-80,5.749232531,2
47,-71,-2.144008404,40
48,-124,1.490186778,40
48,-123,0.935610746,40
48,-122,2.083100722,40
48,-121,1.956848633,40
48,-120,2.293091246,7
48,-118,0.931748765,7
48,-117,-2.571453094,1
48,-116,2.434431346,40
48,-114,-2.959035158,2
48,-110,1.529475795,23
48,-108,-0.389609221,38
48,-107,3.671217928,40
48,-106,2.34218955,1
48,-101,0.93263185,1
48,-99,0.668801918,25
48,-98,3.04018712,1
48,-97,1.792081685,40
48,-96,1.48750531,40
48,-95,0.478896722,12
48,-92,-3.292773962,1
48,-90,0.560174525,1
48,-89,-2.064114138,4
49,-125,3.213081918,40
49,-124,0.543911724,18
49,-123,0.905814662,40
49,-122,0.62487862,40
49,-120,2.226497602,40
49,-119,1.345205118,6
49,-118,0.053091316,38
49,-117,0.114944329,40
49,-116,0.229783475,10
49,-115,0.229783475,10
49,-114,-2.457252463,3
49,-103,-0.577504873,1
49,-100,1.479602154,7
49,-99,-3.177683115,1
49,-98,-0.785493493,1
49,-97,3.285972953,6
49,-95,3.492826641,4
49,-94,6.676684697,3
49,-93,1.997979,24
49,-92,1.833286405,2
49,-86,3.21004045,2
49,-81,3.519477695,4
49,-80,5.716233373,4
